,x,y,line
2,129.90599999999824,24.503500000000095,1.0
4,128.9059999999983,24.603500000000096,1.0
6,127.90599999999836,24.703500000000098,1.0
8,127.00599999999841,24.8035000000001,1.0
10,126.00599999999847,24.9035000000001,1.0
12,125.00599999999852,25.003500000000102,1.0
14,124.00599999999858,25.103500000000103,1.0
16,123.00599999999864,25.203500000000105,1.0
18,122.10599999999869,25.303500000000106,1.0
20,121.10599999999874,25.403500000000108,1.0
22,120.1059999999988,25.50350000000011,1.0
24,119.10599999999886,25.60350000000011,1.0
26,118.10599999999891,25.703500000000112,1.0
28,117.20599999999897,25.803500000000113,1.0
30,116.20599999999902,25.903500000000115,1.0
32,115.20599999999908,26.003500000000116,1.0
34,114.20599999999914,26.103500000000118,1.0
36,113.30599999999919,26.20350000000012,1.0
38,112.30599999999924,26.30350000000012,1.0
40,111.3059999999993,26.403500000000122,1.0
42,110.30599999999936,26.503500000000123,1.0
44,109.30599999999941,26.603500000000125,1.0
46,108.40599999999947,26.703500000000126,1.0
48,107.40599999999952,26.803500000000128,1.0
50,106.40599999999958,26.90350000000013,1.0
52,105.40599999999964,27.00350000000013,1.0
54,104.4059999999997,27.103500000000132,1.0
56,103.50599999999974,27.203500000000133,1.0
58,102.5059999999998,27.303500000000135,1.0
60,101.50599999999986,27.403500000000136,1.0
62,100.50599999999991,27.503500000000138,1.0
64,99.60599999999997,27.60350000000014,1.0
